dateCBASS,CBASSrun,fieldTag,Temp,rack.col,rack.position,whirlPak,Z-fix,Notes,ed50_estimate,std.error,dateCollected,site,depth_ft,lat,lon
6/21/23,2,B37,35,Yellow,4,1,1,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,35,Yellow,6,2,2,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,35,Blue,4,3,3,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,35,OrangeGreen,5,4,4,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,35,OrangeGreen,6,5,5,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,35,OrangeGreen,7,6,6,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,30,Yellow,4,7,7,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,30,Yellow,6,8,8,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,30,Blue,4,9,9,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,30,OrangeGreen,5,10,10,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,30,OrangeGreen,6,11,11,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,30,OrangeGreen,7,12,12,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,32,Yellow,4,13,13,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,32,Yellow,6,14,14,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,32,Blue,4,15,15,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,32,OrangeGreen,5,16,16,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,32,OrangeGreen,6,17,17,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,32,OrangeGreen,7,18,18,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,38,Yellow,4,19,19,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,38,Yellow,6,20,20,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,38,Blue,4,21,21,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,38,OrangeGreen,5,22,22,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,38,OrangeGreen,6,23,23,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,38,OrangeGreen,7,24,24,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,37,Yellow,4,25,25,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,37,Yellow,6,26,26,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,37,Blue,4,27,27,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,37,OrangeGreen,5,28,28,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,37,OrangeGreen,6,29,29,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,37,OrangeGreen,7,30,30,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,36,Yellow,4,31,31,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,36,Yellow,6,32,32,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,36,Blue,4,33,33,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,36,OrangeGreen,5,34,34,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,36,OrangeGreen,6,35,35,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,36,OrangeGreen,7,36,36,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,34,Yellow,4,37,37,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,34,Yellow,6,38,38,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,34,Blue,4,39,39,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,34,OrangeGreen,5,40,40,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,34,OrangeGreen,6,41,41,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,34,OrangeGreen,7,42,42,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
6/21/23,2,B37,33,Yellow,4,43,43,NA,33.890548896709625,0.14940733649099416,2023-06-21T00:00:00Z,U1029-2,37,24.62749608792365,-82.81075581908226
6/21/23,2,B32,33,Yellow,6,44,44,NA,34.480818302760134,0.12198359984722057,2023-06-21T00:00:00Z,S1208,16,24.624666189774874,-82.82800041139127
6/21/23,2,B47,33,Blue,4,45,45,NA,34.47420475325364,0.2858834728876372,2023-06-20T00:00:00Z,O2263,12,24.708213480189446,-82.80937490053476
6/21/23,2,B80,33,OrangeGreen,5,46,46,NA,35.7276289917202,0.06687382287450165,2023-06-21T00:00:00Z,S1208,17,24.62456351146102,-82.82796839252114
6/21/23,2,B75,33,OrangeGreen,6,47,47,NA,35.84277943785372,0.08373661831217424,2023-06-21T00:00:00Z,V1523,14,24.666414689272642,-82.79086112044753
6/21/23,2,B73,33,OrangeGreen,7,48,48,NA,35.76791309613439,0.11611572517909548,2023-06-21T00:00:00Z,V1523,15,24.666516780853275,-82.79043087735774
