uniqueHammock,RT.hammock,uniquePosition,date_time,CBASSrun,batch,team,site,gps,camera,fieldTag,tag,fieldBag,hammock,depth_ft,notes,time,lat,lon
Run1.4,NA,Run1.B1,2023-06-20T09:09:00Z,1,AM,RK+AW+MGa,M1227,8007,parkinson,B1,1,1,4,11,NA,2023-06-20T13:09:54Z,24.640757851302627,-82.8984216414392
Run1.5,NA,Run1.P7,2023-06-20T09:16:00Z,1,AM,RK+AW+MGa,M1227,8007,parkinson,B4,4,4,5,11,largest seen yet,2023-06-20T13:16:56Z,24.640867821872234,-82.89832885377109
Run1.3,NA,Run1.B2,2023-06-20T09:23:00Z,1,AM,RK+AW+MGa,M1227,8007,parkinson,B2,2,2,3,11,"larger, perhaps propagating around",2023-06-20T13:23:44Z,24.64069607667625,-82.89853680878878
Run1.2,NA,Run1.B4,2023-06-20T09:29:00Z,1,AM,RK+AW+MGa,M1227,8007,parkinson,B5,5,5,2,10,confirm w/ Matt time - done,2023-06-20T13:29:46Z,24.64060664176941,-82.89840571582317
Run1.8,NA,Run1.P8,2023-06-20T09:48:00Z,1,AM,RK+AW+MGa,C1441,8007,parkinson,B9,9,9,8,13,huge,2023-06-20T13:48:52Z,24.63272656314075,-82.90518105961382
Run1.6,NA,Run1.B5,2023-06-20T09:54:00Z,1,AM,RK+AW+MGa,C1441,8007,parkinson,B3,3,3,6,13,"isolated and tall, oriented upwards",2023-06-20T13:54:52Z,24.632829492911696,-82.90516722947359
Run1.7,NA,Run1.P6,2023-06-20T09:57:00Z,1,AM,RK+AW+MGa,C1441,8007,parkinson,B8,8,8,7,12,"wider thicket, some patches (not sampled) shaded by octocorals and more pigmented",2023-06-20T13:57:52Z,24.63290384039283,-82.90509229525924
Run1.1,NA,Run1.B6,2023-06-20T10:01:00Z,1,AM,RK+AW+MGa,C1441,8007,parkinson,B7,7,7,1,12,upright and shruby,2023-06-20T14:01:58Z,24.633129816502333,-82.9051399882883
Run1.15,NA,Run1.O6,2023-06-20T10:41:00Z,1,AM,RK+AW+MGa,C1450,8007,parkinson,B6,6,6,15,13,gigantic thicket,2023-06-20T14:41:53Z,24.649181244894866,-82.89333902299406
Run1.18,NA,Run1.P1,2023-06-20T10:47:00Z,1,AM,RK+AW+MGa,C1450,8007,parkinson,B10,10,10,18,14,NA,2023-06-20T14:47:58Z,24.64899784885347,-82.89316509850323
Run1.19,NA,Run1.O5,2023-06-20T10:51:00Z,1,AM,RK+AW+MGa,C1450,8007,parkinson,B11,11,11,19,18,very upright oriented,2023-06-20T14:51:44Z,24.64923857711256,-82.8931008093059
Run1.31,NA,Run1.O7,2023-06-20T11:01:00Z,1,AM,RK+AW+MGa,C1450,8007,parkinson,B12,12,12,31,13,"very upright oriented, doing well amongst other partially diseased stands",2023-06-20T15:01:50Z,24.649296663701538,-82.89329828694463
Run1.10,NA,Run1.P2,2023-06-20T09:55:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B21,21,21,10,14,NA,2023-06-20T13:55:56Z,24.619143856689337,-82.89728212170303
Run1.12,NA,Run1.O8,2023-06-20T10:10:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B22,22,22,12,15,NA,2023-06-20T14:10:52Z,24.618775388225913,-82.89734775200488
Run1.14,NA,Run1.P5,2023-06-20T10:12:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B23,23,23,14,17,NA,2023-06-20T14:12:57Z,24.6189072355628,-82.89743098430337
Run1.11,NA,Run1.B3,2023-06-20T10:23:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B24,24,24,11,14,NA,2023-06-20T14:23:46Z,24.61903606541455,-82.89769291877748
Run1.13,NA,Run1.P3,2023-06-20T10:28:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B25,25,25,13,13,NA,2023-06-20T14:28:49Z,24.61926329880953,-82.89755285717548
Run1.9,NA,Run1.P4,2023-06-20T10:33:00Z,1,AM,AB+MS+MG,C1443,5704,blueZip,B26,26,26,9,13,NA,2023-06-20T14:33:45Z,24.61896909400821,-82.89753223769367
Run1.17,NA,Run1.O3,2023-06-20T11:16:00Z,1,AM,AB+MS+MG,V2526,5704,blueZip,B27,27,27,17,14,NA,2023-06-20T15:16:44Z,24.64842863380909,-82.87179023958743
Run1.16,NA,Run1.O4,2023-06-20T11:23:00Z,1,AM,AB+MS+MG,V2526,5704,blueZip,B28,28,28,16,14,NA,2023-06-20T15:23:38Z,24.648352609947327,-82.8716929256916
Run1.21,NA,Run1.O1,2023-06-20T11:34:00Z,1,AM,AB+MS+MG,V2526,5704,blueZip,B29,29,29,21,14,NA,2023-06-20T15:34:55Z,24.647873751819137,-82.87181094288826
Run1.20,NA,Run1.O2,2023-06-20T11:40:00Z,1,AM,AB+MS+MG,V2526,5704,blueZip,B30,30,30,20,14,NA,2023-06-20T15:40:55Z,24.64780359528959,-82.87181396037342
Run2.19,NA,Run2.O4,2023-06-20T15:54:00Z,2,PM,RC+RK+MG+MS+MGa,K1033,8007,blueZip,B13,13,13,19,32,NA,2023-06-20T19:54:52Z,24.710363522171978,-82.79297394677998
Run2.30,NA,Run2.O6,2023-06-20T15:59:00Z,2,PM,RC+RK+MG+MS+MGa,K1033,8007,blueZip,B14,14,41,30,31,small,2023-06-20T19:59:57Z,24.710216168314222,-82.79302331618966
Run2.29,NA,Run2.B1,2023-06-20T16:10:00Z,2,PM,RC+RK+MG+MS+MGa,K1033,8007,blueZip,B15,15,42,29,26,rocky spur,2023-06-20T20:10:50Z,24.7096489649266,-82.79292843304574
Run2.26,NA,Run2.O1,2023-06-20T16:17:00Z,2,PM,RC+RK+MG+MS+MGa,K1033,8007,blueZip,B16,16,43,26,29,small spur; post-CBASS notes:  possibly throw out genotype on account of potential for it to be just random fallen frags thought to be a geno,2023-06-20T20:17:54Z,24.709666734561328,-82.79301376082005
Run2.16,NA,Run2.B2,2023-06-20T16:49:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B44,44,44,16,11,NA,2023-06-20T20:49:51Z,24.70836619846523,-82.80933961272241
Run2.10,NA,Run2.O7,2023-06-20T16:51:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B45,45,45,10,12,no photo,2023-06-20T20:51:52Z,24.708192022517327,-82.80931245535614
Run2.24,NA,Run2.O3,2023-06-20T16:58:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B46,46,46,24,12,NA,2023-06-20T20:58:44Z,24.708218928426508,-82.80942343175411
Run2.28,NA,Run2.B4,2023-06-20T17:01:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B47,47,47,28,12,NA,2023-06-20T21:01:58Z,24.708213480189446,-82.80937490053476
Run2.27,NA,Run2.O5,2023-06-20T17:12:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B48,48,48,27,11,thicket,2023-06-20T21:12:54Z,24.708184143528346,-82.80973867513241
Run2.17,NA,Run2.O8,2023-06-20T17:18:00Z,2,PM,RC+RK+MG+MS+MGa,O2263,5704,blueZip & blueBand,B49,49,49,17,11,NA,2023-06-20T21:18:59Z,24.708329821005467,-82.80965854413809
Run2.32,NA,Run2.B5,2023-06-20T15:05:00Z,2,PM,HW+CJ+BC+SM,U3026-2,4662,cunning,B31,31,38,32,28,NA,2023-06-20T19:05:50Z,24.688117867335677,-82.77295603416862
Run2.20,NA,Run2.B3,2023-06-20T17:04:00Z,2,PM,HW+CJ+BC+SM,U3026-2,4662,cunning,B36,36,33,20,10,NA,2023-06-20T21:04:47Z,24.69488248229027,-82.78938498347999
Run2.23,NA,Run2.Y2,2023-06-20T17:17:00Z,2,PM,HW+CJ+BC+SM,U3026-2,4662,cunning,B40,40,39,23,10,NA,2023-06-20T21:17:42Z,24.69514248892665,-82.78985344804825
Run2.4,NA,Run2.Y1,2023-06-20T17:21:00Z,2,PM,HW+CJ+BC+SM,U3026-2,4662,cunning,B33,33,37,4,11,NA,2023-06-20T21:21:57Z,24.694867143407468,-82.78984154574573
Run2.3,NA,Run2.O2,2023-06-20T17:23:00Z,2,PM,HW+CJ+BC+SM,U3026-2,4662,cunning,B39,39,31,3,10,NA,2023-06-20T21:23:54Z,24.69484836794436,-82.78976409696044
Run2.8,NA,Run2.Y6,2023-06-21T09:23:00Z,2,AM,RC+AW+MS+MGa,S1208,4324,cunning,B32,32,32,8,16,NA,2023-06-21T13:23:47Z,24.624666189774874,-82.82800041139127
Run2.43,NA,Run2.F5,2023-06-21T09:28:00Z,2,AM,RC+AW+MS+MGa,S1208,4324,cunning,B80,80,40,43,17,NA,2023-06-21T13:28:45Z,24.62456351146102,-82.82796839252114
Run2.25,NA,Run2.F4,2023-06-21T09:34:00Z,2,AM,RC+AW+MS+MGa,S1208,4324,cunning,B76,76,36,25,18,NA,2023-06-21T13:34:57Z,24.62451850064099,-82.82791692763567
Run2.7,NA,Run2.Y5,2023-06-21T09:39:00Z,2,AM,RC+AW+MS+MGa,S1208,4324,cunning,B35,35,35,7,17,NA,2023-06-21T13:39:46Z,24.624680522829298,-82.8279714100063
Run2.44,NA,Run2.Y3,2023-06-21T10:15:00Z,2,AM,RC+AW+MS+MGa,U1029-2,4324,cunning,B34,34,34,44,35,"semi shaded by a rocky outcrop, more pigmented",2023-06-21T14:15:52Z,24.62755325250328,-82.81077484600246
Run2.6,NA,Run2.Y4,2023-06-21T10:30:00Z,2,AM,RC+AW+MS+MGa,U1029-2,4324,cunning,B37,37,80,6,37,NA,2023-06-21T14:30:57Z,24.62749608792365,-82.81075581908226
Run2.42,NA,Run2.Y8,2023-06-21T10:37:00Z,2,AM,RC+AW+MS+MGa,U1029-2,4324,cunning,B79,79,79,42,36,diseased branches close by,2023-06-21T14:37:52Z,24.62737404741347,-82.8108296636492
Run2.59,NA,Run2.F3,2023-06-21T10:14:00Z,2,AM,CJ+HW+BC+SM,M1218,8007,0,B62,62,69,59,18,NA,2023-06-21T14:14:57Z,24.661855772137642,-82.84527283161879
Run2.60,NA,Run2.F2,2023-06-21T10:22:00Z,2,AM,CJ+HW+BC+SM,M1218,8007,0,B64,64,63,60,15,NA,2023-06-21T14:22:59Z,24.661709843203425,-82.84534818492831
Run2.15,NA,Run2.Y7,2023-06-21T10:27:00Z,2,AM,CJ+HW+BC+SM,M1218,8007,0,B69,69,67,15,16,NA,2023-06-21T14:27:56Z,24.66156299225986,-82.84534516744316
Run2.1,NA,Run2.F1,2023-06-21T10:32:00Z,2,AM,CJ+HW+BC+SM,M1218,8007,0,B66,66,68,1,12,NA,2023-06-21T14:32:55Z,24.66146551072598,-82.84533745609225
Run2.52,NA,Run2.B7,2023-06-21T12:12:00Z,2,AM,RC+RK+MS,V1523,4324,0,B72,72,72,52,14,spare medium?,2023-06-21T16:12:51Z,24.666405552998185,-82.79045183211565
Run2.54,NA,Run2.F7,2023-06-21T12:20:00Z,2,AM,RC+RK+MS,V1523,4324,0,B73,73,73,54,15,NA,2023-06-21T16:20:56Z,24.666516780853275,-82.79043087735774
Run2.61,NA,Run2.B6,2023-06-21T12:29:00Z,2,AM,RC+RK+MS,V1523,4324,0,B74,74,74,61,15,NA,2023-06-21T16:29:51Z,24.666384933516387,-82.79063355177642
Run2.41,NA,Run2.F6,2023-06-21T12:32:00Z,2,AM,RC+RK+MS,V1523,4324,0,B75,75,75,41,14,NA,2023-06-21T16:32:51Z,24.666414689272642,-82.79086112044753
Run3.39,NA,Run3.P7,2023-06-21T14:46:00Z,3,PM,CJ+MGa+MG+MI,V1517,8007,0,B101,101,22,39,27,NA,2023-06-21T18:46:49Z,24.718637717887763,-82.82477840781212
Run3.40,NA,Run3.Y6,2023-06-21T14:51:00Z,3,PM,CJ+MGa+MG+MI,V1517,8007,0,B102,102,1,40,27,NA,2023-06-21T18:51:57Z,24.718687841668725,-82.82510253600776
Run3.33,NA,Run3.Y1,2023-06-21T14:55:00Z,3,PM,CJ+MGa+MG+MI,V1517,8007,0,B103,103,3,33,25,NA,2023-06-21T18:55:45Z,24.718662947416306,-82.8250801563263
Run3.47,NA,Run3.O7,2023-06-21T15:06:00Z,3,PM,CJ+MGa+MG+MI,V1517,8007,0,B104,104,4,47,29,NA,2023-06-21T19:06:55Z,24.719198802486066,-82.82556312158705
Run3.38,NA,Run3.P8,2023-06-21T16:09:00Z,3,PM,CJ+MGa+MG+MI,V1517,8007,0,B105,105,5,38,27,confirm w/ Christina time - done,2023-06-21T20:09:49Z,24.718809798359874,-82.824801877141
Run3.45,NA,Run3.B8,2023-06-21T15:40:00Z,3,PM,RC+SM+RK+MS,T1247,4324,cunning,B57,57,60,45,30,Shayle watch correction - done,2023-06-21T19:40:52Z,24.703168496489525,-82.86018432117999
Run3.48,NA,Run3.F1,2023-06-21T15:44:00Z,3,PM,RC+SM+RK+MS,T1247,4324,cunning,B77,77,51,48,30,Shayle watch correction - done,2023-06-21T19:44:50Z,24.70322834327817,-82.86019630730152
Run3.46,NA,Run3.Y8,2023-06-21T15:49:00Z,3,PM,RC+SM+RK+MS,T1247,4324,cunning,B78,78,55,46,28,Shayle watch correction - done,2023-06-21T19:49:54Z,24.70330503769219,-82.86015833728017
Run3.24,NA,Run3.P2,2023-06-21T15:55:00Z,3,PM,RC+SM+RK+MS,T1247,4324,cunning,B71,71,52,24,24,Shayle watch correction - done,2023-06-21T19:55:58Z,24.70344484783709,-82.85996957682075
Run3.34,NA,Run3.O1,2023-06-21T16:01:00Z,3,PM,RC+SM+RK+MS,T1247,4324,cunning,B38,38,59,34,23,Shayle watch correction - done,2023-06-21T20:01:43Z,24.703449960798025,-82.85984150134027
Run3.4,NA,Run3.Y7,2023-06-21T16:27:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B51,51,78,4,18,NA,2023-06-21T20:27:56Z,24.702666588127613,-82.87205812521279
Run3.22,NA,Run3.P6,2023-06-21T16:35:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B52,52,76,22,12,NA,2023-06-21T20:35:51Z,24.702649069949985,-82.87212417460978
Run3.17,NA,Run3.P5,2023-06-21T16:44:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B53,53,53,17,17,NA,2023-06-21T20:44:48Z,24.702630881220106,-82.87229105830193
Run3.37,NA,Run3.P1,2023-06-21T16:49:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B54,54,54,37,17,NA,2023-06-21T20:49:50Z,24.702646052464846,-82.87232735194266
Run3.27,NA,Run3.B7,2023-06-21T16:56:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B55,55,77,27,19,NA,2023-06-21T20:56:47Z,24.70264714211226,-82.87243690341711
Run3.36,NA,Run3.O8,2023-06-21T17:06:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B56,56,56,36,23,NA,2023-06-21T21:06:55Z,24.702460812404755,-82.87307518534362
Run3.1,NA,Run3.F8,2023-06-22T09:15:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B58,58,58,1,12,NA,2023-06-22T13:15:49Z,24.6131931245327,-82.87173416465522
Run3.11,NA,Run3.F7,2023-06-22T09:24:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B59,59,57,11,11,NA,2023-06-22T13:24:54Z,24.613451287150387,-82.87175889126958
Run3.7,NA,Run3.F2,2023-06-22T09:31:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B121,121,21,7,11,NA,2023-06-22T13:31:50Z,24.61361506953836,-82.8716310672462
Run3.21,NA,Run3.F6,2023-06-22T09:35:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B122,122,22,21,12,NA,2023-06-22T13:35:52Z,24.61370718665421,-82.87158798426391
Run3.52,NA,Run3.F4,2023-06-22T09:44:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B123,123,23,52,11,NA,2023-06-22T13:44:51Z,24.614255279302597,-82.87131012417376
Run3.15,NA,Run3.P3,2023-06-22T10:30:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B124,124,71,15,21,NA,2023-06-22T14:30:53Z,24.618582855910066,-82.92008098214865
Run3.12,NA,Run3.P4,2023-06-22T10:34:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B128,128,24,12,20,NA,2023-06-22T14:34:50Z,24.618551256135106,-82.92025599628687
Run3.18,NA,Run3.O4,2023-06-22T10:40:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B125,125,26,18,15,NA,2023-06-22T14:40:50Z,24.618695676326755,-82.92033989913762
Run3.5,NA,Run3.F3,2023-06-22T10:44:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B130,130,28,5,16,NA,2023-06-22T14:44:56Z,24.618850154802207,-82.92034735903145
Run3.2,NA,Run3.O3,2023-06-22T10:49:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B127,127,30,2,16,NA,2023-06-22T14:49:57Z,24.61898535490036,-82.92031148448588
Run3.9,NA,Run3.F5,2023-06-22T10:56:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B126,126,29,9,12,NA,2023-06-22T14:56:48Z,24.61911376565695,-82.92048540897667
Run3.6,NA,Run3.O6,2023-06-22T08:38:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B141,141,41,6,24,NA,2023-06-22T12:38:57Z,24.587834933772687,-82.88732886314392
Run3.28,NA,Run3.B6,2023-06-22T08:43:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B142,142,42,28,21,NA,2023-06-22T12:43:47Z,24.587916322052482,-82.88739767856897
Run3.3,NA,Run3.Y5,2023-06-22T08:47:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B143,143,43,3,20,NA,2023-06-22T12:47:55Z,24.58790752105415,-82.88753338158132
Run3.23,NA,Run3.B5,2023-06-22T08:50:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B144,144,44,23,16,NA,2023-06-22T12:50:50Z,24.587882794439793,-82.88764494471252
Run3.8,NA,Run3.B4,2023-06-22T08:53:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B145,145,45,8,19,NA,2023-06-22T12:53:57Z,24.58792168647051,-82.88768802769482
Run3.20,NA,Run3.O5,2023-06-22T08:56:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B146,146,46,20,17,NA,2023-06-22T12:56:52Z,24.58784851245582,-82.88773144595325
Run3.30,NA,Run3.Y4,2023-06-22T09:18:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B147,147,47,30,11,NA,2023-06-22T13:18:47Z,24.591701338067654,-82.89654040709138
Run3.10,NA,Run3.Y3,2023-06-22T09:20:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B148,148,48,10,11,one diseased tip collected,2023-06-22T13:20:57Z,24.591584159061313,-82.89672036655249
Run3.25,NA,Run3.B2,2023-06-22T09:26:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B149,149,49,25,12,NA,2023-06-22T13:26:57Z,24.5916710793972,-82.89659941568972
Run3.13,NA,Run3.B3,2023-06-22T09:32:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B91,91,91,13,11,NA,2023-06-22T13:32:48Z,24.59164073690772,-82.89651157334447
Run3.16,NA,Run3.Y2,2023-06-22T09:38:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B92,92,92,16,10,NA,2023-06-22T13:38:48Z,24.591570077463984,-82.89647779427469
Run3.14,NA,Run3.B1,2023-06-22T09:42:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B93,93,93,14,13,NA,2023-06-22T13:42:50Z,24.591689938679338,-82.89637695997955
Run4.49,NA,Run4.O8,2023-06-22T11:29:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B94,94,94,49,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:29:55Z,24.592558890581135,-82.89723325520754
Run4.35,NA,Run4.P1,2023-06-22T11:34:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B95,95,95,35,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:34:47Z,24.591744840145115,-82.89679186418654
Run4.42,NA,Run4.O7,2023-06-22T11:42:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B96,96,96,42,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:42:52Z,24.591635456308722,-82.89655029773712
Run4.55,NA,Run4.O2,2023-06-22T11:44:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B111,111,11,55,41,NA,2023-06-22T15:44:56Z,24.60088304243982,-82.94801250100137
Run4.43,NA,Run4.O5,2023-06-22T11:45:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B112,112,12,43,41,NA,2023-06-22T15:45:52Z,24.600854124873877,-82.94802649877965
Run4.44,NA,Run4.O1,2023-06-22T11:49:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B113,113,13,44,41,NA,2023-06-22T15:49:47Z,24.60075991228223,-82.94812976382673
Run4.61,NA,Run4.O3,2023-06-22T11:52:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B114,114,14,61,41,NA,2023-06-22T15:52:56Z,24.60070123896003,-82.94824333861472
Run4.60,NA,Run4.O4,2023-06-22T11:57:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B115,115,15,60,41,NA,2023-06-22T15:57:51Z,24.600793607532978,-82.9482507146895
Run4.41,NA,Run4.O6,2023-06-22T12:09:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B116,116,16,41,43,NA,2023-06-22T16:09:54Z,24.600681541487578,-82.94816228561105
Run4.12,NA,Run4.P7,2023-06-22T16:15:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B151,151,40,12,24,NA,2023-06-22T20:15:59Z,24.62862990796566,-82.94597284868361
Run4.8,NA,Run4.P4,2023-06-22T16:19:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B152,152,35,8,25,NA,2023-06-22T20:19:50Z,24.62852898985148,-82.94575491920114
Run4.9,NA,Run4.P2,2023-06-22T16:24:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B153,153,4,9,26,NA,2023-06-22T20:24:49Z,24.62868958711624,-82.94540899805726
Run4.26,NA,Run4.P6,2023-06-22T16:32:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B154,154,2,26,27,NA,2023-06-22T20:32:48Z,24.6292011346668,-82.94575793668628
Run4.20,NA,Run4.Y4,2023-06-22T16:35:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B155,155,5,20,27,NA,2023-06-22T20:35:45Z,24.629239356145266,-82.94582306407392
Run4.23,NA,Run4.P3,2023-06-22T16:37:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B156,156,3,23,26,NA,2023-06-22T20:37:50Z,24.62926307693124,-82.94583773240447
Run4.4,NA,Run4.Y3,2023-06-22T16:15:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B180,180,72,4,21,NA,2023-06-22T20:15:50Z,24.632284585386518,-82.90516471490264
Run4.3,NA,Run4.P8,2023-06-22T16:20:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B179,179,75,3,12,NA,2023-06-22T20:20:48Z,24.63235574774444,-82.90514736436307
Run4.30,NA,Run4.P5,2023-06-22T16:24:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B174,174,76,30,10,NA,2023-06-22T20:24:58Z,24.632487092167143,-82.90506740100682
Run4.1,NA,Run4.Y5,2023-06-22T16:47:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B172,172,74,1,12,NA,2023-06-22T20:47:55Z,24.649902004748586,-82.8937052283436
