uniqueHammock,RT.hammock,uniquePosition,date_time,CBASSrun,batch,team,site,gps,camera,fieldTag,tag,fieldBag,hammock,depth_ft,notes,time,lat,lon
Run4.33,NA,Run4.Y1,2023-06-22T16:53:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B175,175,80,33,13,NA,2023-06-22T20:53:50Z,24.650023709982634,-82.89400211535394
Run4.45,NA,Run4.Y2,2023-06-22T17:02:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B178,178,25,45,11,NA,2023-06-22T21:02:48Z,24.64958156459034,-82.89362979121506
Run5.36,NA,Run5.Y3,2023-06-23T08:53:00Z,5,AM,SM+MGa+MI,R1215,4662,blackCamera,B158,158,36,36,7,one geno left for CBASS run 5,2023-06-23T12:53:42Z,24.6320524904877,-82.87572411820294
Run4.14,NA,Run4.Y7,2023-06-23T09:09:00Z,4,AM,SM+MGa+MI,R1215,4662,blackCamera,B159,159,34,14,8,NA,2023-06-23T13:09:48Z,24.632815327495337,-82.87499573081732
Run4.2,NA,Run4.Y6,2023-06-23T09:28:00Z,4,AM,SM+MGa+MI,C1447,4662,blackCamera,B160,160,1,2,8,NA,2023-06-23T13:28:52Z,24.633448999375105,-82.87350928410889
Run4.38,NA,Run4.Y8,2023-06-23T09:36:00Z,4,AM,SM+MGa+MI,C1447,4662,blackCamera,B107,107,54,38,7,NA,2023-06-23T13:36:48Z,24.63384638540447,-82.87359603680672
Run5.27,NA,Run5.P1,2023-06-23T15:55:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B191,191,21,27,22,sort of small but big for the area,2023-06-23T19:55:49Z,24.67408161610365,-82.88670281879604
Run5.28,NA,Run5.P4,2023-06-23T16:06:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B195,195,22,28,15,NA,2023-06-23T20:06:51Z,24.67414322309196,-82.88654364645483
Run5.34,NA,Run5.P5,2023-06-23T16:14:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B192,192,26,34,17,"nubby branches, off from the main bit",2023-06-23T20:14:46Z,24.67410902492702,-82.88630040362477
Run5.37,NA,Run5.P2,2023-06-23T16:40:00Z,5,PM,RC+CJ+AW+HW,O1298,4662,orangeZip,B193,193,30,37,14,NA,2023-06-23T20:40:55Z,24.669389929622415,-82.87554868496954
Run5.55,NA,Run5.P3,2023-06-23T16:45:00Z,5,PM,RC+CJ+AW+HW,O1298,4662,orangeZip,B194,194,23,55,14,NA,2023-06-23T20:45:59Z,24.66932756826282,-82.87558598443866
Run5.16,NA,Run5.O7,2023-06-23T14:06:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B18,18,63,16,11,NA,2023-06-23T18:06:58Z,24.663147758692507,-82.91203879751265
Run5.10,NA,Run5.O8,2023-06-23T14:12:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B97,97,97,10,13,NA,2023-06-23T18:12:54Z,24.663275750353932,-82.91205053217709
Run5.21,NA,Run5.Y5,2023-06-23T14:16:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B100,100,100,21,10,NA,2023-06-23T18:16:51Z,24.663171647116545,-82.91209973394871
Run5.24,NA,Run5.O3,2023-06-23T14:38:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B99,99,59,24,12,NA,2023-06-23T18:38:57Z,24.66955941170454,-82.90897814556958
Run5.46,NA,Run5.O6,2023-06-23T14:44:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B98,98,99,46,14,NA,2023-06-23T18:44:51Z,24.66976443305612,-82.90899231098592
Run5.47,NA,Run5.O1,2023-06-23T14:49:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B19,19,69,47,13,NA,2023-06-23T18:49:51Z,24.67001119628549,-82.90929766371848
Run5.13,NA,Run5.P6,2023-06-23T15:23:00Z,5,PM,SM+RK+MG+MS,O1313,8007,blueZip,B109,109,55,13,20,NA,2023-06-23T19:23:54Z,24.669616157189015,-82.89951765909791
Run5.11,NA,Run5.P7,2023-06-23T15:29:00Z,5,PM,SM+RK+MG+MS,O1313,8007,blueZip,B119,119,7,11,21,NA,2023-06-23T19:29:51Z,24.66969477944076,-82.89992585778238
Run5.20,NA,Run5.Y6,2023-06-23T15:31:00Z,5,PM,SM+RK+MG+MS,O1313,8007,blueZip,B117,117,8,20,23,NA,2023-06-23T19:31:56Z,24.669681284576658,-82.90001671761274
Run5.15,NA,Run5.P8,2023-06-23T15:46:00Z,5,PM,SM+RK+MG+MS,O1313,8007,blueZip,B60,60,20,15,17,NA,2023-06-23T19:46:50Z,24.66974498704076,-82.89883730001748
Run5.61,NA,Run5.O2,2023-06-23T13:20:00Z,5,PM,CJ+BC+MGa+MI,T3021,4662,orangeZip,B181,181,40,61,15,NA,2023-06-23T17:20:42Z,24.697160264477137,-82.88605883717538
Run5.48,NA,Run5.O5,2023-06-23T13:27:00Z,5,PM,CJ+BC+MGa+MI,T3021,4662,orangeZip,B182,182,41,48,13,NA,2023-06-23T17:27:58Z,24.697190439328555,-82.88622354157269
Run5.22,NA,Run5.Y1,2023-06-23T13:30:00Z,5,PM,CJ+BC+MGa+MI,T3021,4662,orangeZip,B184,184,42,22,14,NA,2023-06-23T17:30:57Z,24.697299571707845,-82.886110721156
Run5.59,NA,Run5.O4,2023-06-23T14:16:00Z,5,PM,CJ+BC+MGa+MI,K1021,4662,orangeZip,B185,185,43,59,17,NA,2023-06-23T18:16:59Z,24.697150373831395,-82.86333097144963
Run5.7,NA,Run5.Y4,2023-06-23T14:20:00Z,5,PM,CJ+BC+MGa+MI,K1021,4662,orangeZip,B186,186,44,7,19,NA,2023-06-23T18:20:52Z,24.697192786261443,-82.86339417099953
Run5.25,NA,Run5.Y2,2023-06-23T14:25:00Z,5,PM,CJ+BC+MGa+MI,K1021,4662,orangeZip,B187,187,47,25,23,NA,2023-06-23T18:25:46Z,24.697142578661442,-82.86334102973343
Run5.61B,NA,Run5.B4,2023-06-24T11:24:00Z,5,AM,RC+SM+MG+AW,CT (Waypoint 661),4662,NA,B129,129,27,61B,9,edge of crapton,2023-06-24T15:24:49Z,24.696008088067178,-82.79745323583484
Run5.20B,NA,Run5.B3,2023-06-24T11:29:00Z,5,AM,RC+SM+MG+AW,CT (Waypoint 661),4662,NA,B118,118,19,20B,9,"edge of crapton, separated by Ofav and sand",2023-06-24T15:29:59Z,24.696067348122597,-82.79768055304885
Run5.25B,NA,Run5.B2,2023-06-24T11:35:00Z,5,AM,RC+SM+MG+AW,CT (Waypoint 661),4662,NA,B108,108,9,25B,8,center of crapton,2023-06-24T15:35:51Z,24.696134151890874,-82.79745642095806
Run5.6,NA,Run5.B1,2023-06-24T12:00:00Z,5,AM,RC+SM+MG+AW,CT (Waypoint 660),4662,NA,B110,110,10,6,8,"separated from crapton, waypoint 660 on Narwhal Boat GPS",2023-06-24T16:00:57Z,24.695512214675546,-82.79557904228568
Run6.4,RT.4,Run6.Y1,2023-06-25T08:44:00Z,6,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B188,188,46,4,7,NA,2023-06-25T12:44:59Z,24.702369952574372,-82.79972456395626
Run7.6,RT.6,Run7.B6,2023-06-25T08:50:00Z,7,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B189,189,48,6,7,NA,2023-06-25T12:50:50Z,24.702399373054504,-82.79974250122906
Run7.7,RT.7,Run7.Y1,2023-06-25T08:55:00Z,7,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B190,190,49,7,7,NA,2023-06-25T12:55:50Z,24.702460058033466,-82.79965599998833
Run7.1,RT.1,Run7.B5,2023-06-25T09:00:00Z,7,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B162,162,15,1,7,NA,2023-06-25T13:00:54Z,24.702579332515597,-82.79944846406579
Run7.2,RT.2,Run7.Y6,2023-06-25T09:06:00Z,7,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B161,161,16,2,11,NA,2023-06-25T13:06:51Z,24.70249484293163,-82.7991628088057
Run7.3,RT.3,Run7.B3,2023-06-25T09:23:00Z,7,AM,RK+AW+BC,Pulaski-N_1,4662,cunning,B150,150,17,3,7,NA,2023-06-25T13:23:48Z,24.703166736289862,-82.7993068099022
Run6.55,RT.55,Run6.Y3,2023-06-25T10:55:00Z,6,AM,SM+FL,Pulaski-N_2,4662,cunning,B168,168,12,55,12,NA,2023-06-25T14:55:47Z,24.702134002000093,-82.8000539727509
Run7.33,RT.33,Run7.Y4,2023-06-25T11:04:00Z,7,AM,SM+FL,Pulaski-N_2,4662,cunning,B166,166,4,33,12,NA,2023-06-25T15:04:49Z,24.70183527097106,-82.8002568986267
Run7.53,RT.53,Run7.O8,2023-06-25T11:22:00Z,7,AM,SM+FL,Pulaski-N_2,4662,cunning,B169,169,11,53,12,NA,2023-06-25T15:22:52Z,24.70264932140708,-82.79942298308015
Run6.40,RT.40,Run6.Y2,2023-06-25T11:33:00Z,6,AM,SM+FL,Pulaski-N_2,4662,cunning,B164,164,14,40,12,NA,2023-06-25T15:33:46Z,24.70236718654633,-82.79940915293993
Run6.11,RT.11,Run6.O6,2023-06-25T09:46:00Z,6,AM,JP+MG+SL,Pulaski-S_1,8007,orangeZip,B138,138,36,11,9,NA,2023-06-25T13:46:45Z,24.70203995704651,-82.79984819702806
Run7.10,RT.10,Run7.B4,2023-06-25T10:01:00Z,7,AM,JP+MG+SL,Pulaski-S_1,8007,orangeZip,B139,139,34,10,9,NA,2023-06-25T14:01:46Z,24.70149764791131,-82.80006151646377
Run7.12,RT.12,Run7.B2,2023-06-25T10:15:00Z,7,AM,JP+MG+SL,Pulaski-S_1,8007,orangeZip,B137,137,37,12,8,NA,2023-06-25T14:15:51Z,24.701400920748714,-82.7999632805586
Run6.9,RT.9,Run6.O2,2023-06-25T10:19:00Z,6,AM,JP+MG+SL,Pulaski-S_1,8007,orangeZip,B136,136,33,9,9,NA,2023-06-25T14:19:53Z,24.701301008462906,-82.80006118118763
Run6.8,RT.8,Run6.O1,2023-06-25T10:30:00Z,6,AM,JP+MG+SL,Pulaski-S_1,8007,orangeZip,B133,133,31,8,8,NA,2023-06-25T14:30:50Z,24.70146227627993,-82.8003689646721
Run6.52,RT.52,Run6.O5,2023-06-25T11:39:00Z,6,AM,JP+MG,Pulaski-S_2,4324,orangeZip,B135,135,38,52,9,"should have been 8007 gps, but can use 4324",2023-06-25T15:39:50Z,24.70156788825989,-82.79960956424476
Run6.32,RT.32,Run6.O3,2023-06-25T11:50:00Z,6,AM,JP+MG,Pulaski-S_2,4324,orangeZip,B134,134,32,32,9,"should have been 8007 gps, but can use 4324",2023-06-25T15:50:53Z,24.700231309980154,-82.79979379847647
Run6.5,RT.5,Run6.O4,2023-06-25T12:01:00Z,6,AM,JP+MG,Pulaski-S_2,4324,orangeZip,B131,131,35,5,9,"should have been 8007 gps, but can use 4324",2023-06-25T16:01:53Z,24.703151732683185,-82.79958005994558
Run6.47,RT.47,Run6.O7,2023-06-25T12:12:00Z,6,AM,JP+MG,Pulaski-S_2,4324,orangeZip,B132,132,39,47,10,"should have been 8007 gps, but can use 4324",2023-06-25T16:12:53Z,24.700189232826233,-82.79991768300533
Run7.57,RT.57,Run7.Y3,2023-06-25T12:22:00Z,7,AM,JP+MG,Pulaski-S_2,4324,orangeZip,B86,86,40,57,10,"should have been 8007 gps, but can use 4324",2023-06-25T16:22:53Z,24.70032594166696,-82.79945047572255
Run7.48,RT.48,Run7.Y7,2023-06-25T15:27:00Z,7,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B120,120,18,48,10,NA,2023-06-25T19:27:52Z,24.680851260200146,-82.89108647033574
Run7.54,RT.54,Run7.B1,2023-06-25T15:36:00Z,7,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B163,163,5,54,11,NA,2023-06-25T19:36:51Z,24.680938515812162,-82.89100416004658
Run6.35,RT.35,Run6.P6,2023-06-25T15:42:00Z,6,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B167,167,13,35,11,NA,2023-06-25T19:42:50Z,24.68103717081249,-82.89103894494474
Run6.39,RT.39,Run6.P3,2023-06-25T15:47:00Z,6,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B165,165,3,39,11,NA,2023-06-25T19:47:56Z,24.681287202984098,-82.89114908315243
Run6.60,RT.60,Run6.P4,2023-06-25T15:55:00Z,6,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B170,170,2,60,14,NA,2023-06-25T19:55:54Z,24.681324250996113,-82.89096384309232
Run6.17,RT.17,Run6.P2,2023-06-25T16:38:00Z,6,PM,RK+MG,TexasRock-Acer-ACR-1(N),4662,blueBand,B67,67,70,17,13,NA,2023-06-25T20:38:47Z,24.6814753767103,-82.89093006402256
Run6.14,RT.14,Run6.P1,2023-06-25T15:24:00Z,6,PM,FL+BC,TexasRock-Acer-ACR-2(S),8203,cunning,B83,83,32,14,12,NA,2023-06-25T19:24:48Z,24.680445324629545,-82.89050652645528
Run7.44,RT.44,Run7.B7,2023-06-25T15:45:00Z,7,PM,FL+BC,TexasRock-Acer-ACR-2(S),8203,cunning,B140,140,51,44,13,NA,2023-06-25T19:45:58Z,24.680878417566422,-82.89080190472305
Run6.19,RT.19,Run6.Y4,2023-06-25T15:50:00Z,6,PM,FL+BC,TexasRock-Acer-ACR-2(S),8203,cunning,B81,81,67,19,13,NA,2023-06-25T19:50:49Z,24.680864922702312,-82.8908630926162
Run7.29,RT.29,Run7.O6,2023-06-25T15:54:00Z,7,PM,FL+BC,TexasRock-Acer-ACR-2(S),8203,cunning,B84,84,68,29,13,NA,2023-06-25T19:54:55Z,24.68088897876442,-82.89098328910768
Run7.18,RT.18,Run7.O7,2023-06-25T16:02:00Z,7,PM,FL+BC,TexasRock-Acer-ACR-2(S),8203,cunning,B82,82,56,18,13,NA,2023-06-25T20:02:54Z,24.68078604899347,-82.89112309925258
Run7.20,RT.20,Run7.P3,2023-06-25T15:42:00Z,7,PM,JP+SL,TexasRock-Acer-ELS-1(N),8007,parkinson,B43,43,81,20,11,NA,2023-06-25T19:42:56Z,24.68302242457867,-82.89610614068808
Run6.30,RT.30,Run6.P8,2023-06-25T15:53:00Z,6,PM,JP+SL,TexasRock-Acer-ELS-1(N),8007,parkinson,B17,17,89,30,13,NA,2023-06-25T19:53:59Z,24.68278354033828,-82.8961704298854
Run7.24,RT.24,Run7.Y2,2023-06-25T16:05:00Z,7,PM,JP+SL,TexasRock-Acer-ELS-1(N),8007,parkinson,B50,50,88,24,10,NA,2023-06-25T20:05:55Z,24.68249914236367,-82.89630915038289
Run7.61,RT.61,Run7.P2,2023-06-25T16:28:00Z,7,PM,JP+SL,TexasRock-Acer-ELS-1(N),8007,parkinson,B41,41,87,61,8,NA,2023-06-25T20:28:48Z,24.681114116683602,-82.89562325924636
Run7.58,RT.58,Run7.Y5,2023-06-25T16:39:00Z,7,PM,JP+SL,TexasRock-Acer-ELS-1(N),8007,parkinson,B106,106,86,58,11,NA,2023-06-25T20:39:48Z,24.680669875815514,-82.89530080743134
Run7.15,RT.15,Run7.P1,2023-06-25T15:37:00Z,7,PM,CJ+SA,TexasRock-Acer-ELS-2(S),5730,orangeZip,B89,89,85,15,10,NA,2023-06-25T19:37:52Z,24.68333020806313,-82.89612533524632
Run6.42,RT.42,Run6.O8,2023-06-25T15:50:00Z,6,PM,CJ+SA,TexasRock-Acer-ELS-2(S),5730,orangeZip,B85,85,84,42,12,NA,2023-06-25T19:50:59Z,24.683422492817044,-82.89612458087505
Run6.25,RT.25,Run6.P5,2023-06-25T16:00:00Z,6,PM,CJ+SA,TexasRock-Acer-ELS-2(S),5730,orangeZip,B88,88,90,25,14,NA,2023-06-25T20:00:52Z,24.683502288535237,-82.8961479663849
Run6.27,RT.27,Run6.P7,2023-06-25T16:28:00Z,6,PM,CJ+SA,TexasRock-Acer-ELS-2(S),5730,orangeZip,B87,87,82,27,14,NA,2023-06-25T20:28:49Z,24.68514564447105,-82.89664451032877
Run6.49,RT.49,Run6.Y5,2023-06-26T08:52:00Z,6,AM,MG+SL,SouthwestChannel-Acer-TNC(S),4662,blueBand,B176,176,78,49,14,NA,2023-06-26T12:52:48Z,24.619264472275972,-82.91994360275567
Run6.59,RT.59,Run6.Y7,2023-06-26T09:00:00Z,6,AM,MG+SL,SouthwestChannel-Acer-TNC(S),4662,blueBand,B183,183,35,59,14,NA,2023-06-26T13:00:58Z,24.61923697963357,-82.91984762996435
Run6.56,RT.56,Run6.Y6,2023-06-26T09:08:00Z,6,AM,MG+SL,SouthwestChannel-Acer-TNC(S),4662,blueBand,B177,177,29,56,21,NA,2023-06-26T13:08:59Z,24.61906841956079,-82.91971804574132
Run6.46,RT.46,Run6.B2,2023-06-26T09:18:00Z,6,AM,MG+SL,SouthwestChannel-Acer-TNC(S),4662,blueBand,B90,90,60,46,18,NA,2023-06-26T13:18:56Z,24.618548825383186,-82.92013110592963
Run6.41,RT.41,Run6.B5,2023-06-26T09:28:00Z,6,AM,MG+SL,SouthwestChannel-Acer-TNC(S),4662,blueBand,B20,20,79,41,22,NA,2023-06-26T13:28:43Z,24.618416223675013,-82.92044190689923
Run6.36,RT.36,Run6.B4,2023-06-26T08:50:00Z,6,AM,RK+FL,SouthwestChannel-Acer-TNC(S),8203,blueZip,Y80,80,66,36,15,NA,2023-06-26T12:50:59Z,24.61940838955343,-82.9203562438488
Run6.34,RT.34,Run6.B6,2023-06-26T08:58:00Z,6,AM,RK+FL,SouthwestChannel-Acer-TNC(S),8203,blueZip,Y87,87,73,34,15,NA,2023-06-26T12:58:52Z,24.619540404528383,-82.92019707150757
Run6.22,RT.22,Run6.B1,2023-06-26T09:11:00Z,6,AM,RK+FL,SouthwestChannel-Acer-TNC(S),8203,blueZip,B42,42,64,22,18,NA,2023-06-26T13:11:46Z,24.61942154914141,-82.92044718749821
Run6.28,RT.28,Run6.B7,2023-06-26T09:22:00Z,6,AM,RK+FL,SouthwestChannel-Acer-TNC(S),8203,blueZip,B171,171,61,28,18,NA,2023-06-26T13:22:50Z,24.619183922186497,-82.92042941786349
Run6.23,RT.23,Run6.B3,2023-06-26T09:27:00Z,6,AM,RK+FL,SouthwestChannel-Acer-TNC(S),8203,blueZip,B173,173,NA,23,18,NA,2023-06-26T13:27:52Z,24.619176378473643,-82.92039781808853
Run7.51,RT.51,Run7.P8,2023-06-26T09:15:00Z,7,AM,HW+BC,SouthwestChannel-Acer-TNC(N),8007,cunning,B65,65,24,51,25,NA,2023-06-26T13:15:44Z,24.62066559121013,-82.92118429206313
Run7.21,RT.21,Run7.P6,2023-06-26T09:20:00Z,7,AM,HW+BC,SouthwestChannel-Acer-TNC(N),8007,cunning,B63,63,28,21,25,NA,2023-06-26T13:20:43Z,24.620723761618137,-82.92117255739868
Run7.37,RT.37,Run7.O4,2023-06-26T09:28:00Z,7,AM,HW+BC,SouthwestChannel-Acer-TNC(N),8007,cunning,B61,61,53,37,16,NA,2023-06-26T13:28:56Z,24.62094160728157,-82.92123014107348
Run7.16,RT.16,Run7.P5,2023-06-26T09:35:00Z,7,AM,HW+BC,SouthwestChannel-Acer-TNC(N),8007,cunning,B70,70,98,16,21,NA,2023-06-26T13:35:51Z,24.620998101308945,-82.92130918242037
Run7.13,RT.13,Run7.O1,2023-06-26T09:50:00Z,7,AM,HW+BC,SouthwestChannel-Acer-TNC(N),8007,cunning,B68,68,25,13,19,NA,2023-06-26T13:50:48Z,24.62130169384182,-82.9216419439763
Run7.26,RT.26,Run7.O2,2023-06-26T09:17:00Z,7,AM,JP+SA,SouthwestChannel-Acer-TNC(N),5730,blackparkinson,B197,197,12,26,22,originally written as hammock 27 - rectified,2023-06-26T13:17:39Z,24.620500635355715,-82.92109703645112
Run7.45,RT.45,Run7.O5,2023-06-26T09:30:00Z,7,AM,JP+SA,SouthwestChannel-Acer-TNC(N),5730,blackparkinson,B200,200,58,45,15,NA,2023-06-26T13:30:44Z,24.62074773386121,-82.92075983248651
Run7.38,RT.38,Run7.P7,2023-06-26T09:40:00Z,7,AM,JP+SA,SouthwestChannel-Acer-TNC(N),5730,blackparkinson,B196,196,74,38,14,NA,2023-06-26T13:40:57Z,24.620940266177058,-82.92081917636096
Run7.43,RT.43,Run7.P4,2023-06-26T09:55:00Z,7,AM,JP+SA,SouthwestChannel-Acer-TNC(N),5730,blackparkinson,B198,198,75,43,14,NA,2023-06-26T13:55:56Z,24.620680930092934,-82.91988342069091
Run7.50,RT.50,Run7.O3,2023-06-26T10:04:00Z,7,AM,JP+SA,SouthwestChannel-Acer-TNC(N),5730,blackparkinson,B199,199,71,50,14,NA,2023-06-26T14:04:53Z,24.62058269418776,-82.91996891610326
Run8.RRT.Apal-016,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-016,Apal-016,53,RRT.Apal-016,NA,NA,NA,NA,NA
Run8.RRT.Apal-026,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-026,Apal-026,13,RRT.Apal-026,NA,NA,NA,NA,NA
Run8.RRT.Apal-028,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-028,Apal-028,90,RRT.Apal-028,NA,NA,NA,NA,NA
Run8.RRT.Apal-150,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-150,Apal-150,70,RRT.Apal-150,NA,NA,NA,NA,NA
Run8.RRT.Apal-153,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-153,Apal-153,39,RRT.Apal-153,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,RK+FL,RRT,NA,NA,RRT.Apal-157,Apal-157,NA,RRT.Apal-157,NA,"Dead, no collection",NA,NA,NA
Run8.RRT.Apal-162,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-162,Apal-162,51,RRT.Apal-162,NA,NA,NA,NA,NA
Run8.RRT.Apal-163,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-163,Apal-163,2,RRT.Apal-163,NA,NA,NA,NA,NA
Run8.RRT.Apal-165,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-165,Apal-165,24,RRT.Apal-165,NA,NA,NA,NA,NA
Run8.RRT.Apal-175,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-175,Apal-175,60,RRT.Apal-175,NA,NA,NA,NA,NA
Run8.RRT.Apal-ML2,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-ML2,Apal-ML2,64,RRT.Apal-ML2,NA,NA,NA,NA,NA
Run8.RRT.Apal-176,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-176,Apal-176,5,RRT.Apal-176,NA,NA,NA,NA,NA
Run8.RRT.Apal-155,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-155,Apal-155,36,RRT.Apal-155,NA,NA,NA,NA,NA
Run8.RRT.Apal-171,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-171,Apal-171,4,RRT.Apal-171,NA,NA,NA,NA,NA
Run8.RRT.Apal-174,NA,Run8.P1,NA,8,AM,RK+FL,RRT,NA,NA,RRT.Apal-174,Apal-174,14,RRT.Apal-174,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,RK+FL,RRT,NA,NA,RRT.Apal-168,Apal-168,NA,RRT.Apal-168,NA,"Disease, no collection",NA,NA,NA
Run8.RRT.Apal-CN2,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-CN2,Apal-CN2,3,RRT.Apal-CN2,NA,NA,NA,NA,NA
Run8.RRT.Apal-177,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-177,Apal-177,52,RRT.Apal-177,NA,NA,NA,NA,NA
Run8.RRT.Apal-185,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-185,Apal-185,11,RRT.Apal-185,NA,NA,NA,NA,NA
Run8.RRT.Apal-187,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-187,Apal-187,35,RRT.Apal-187,NA,NA,NA,NA,NA
Run8.RRT.Apal-188,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-188,Apal-188,89,RRT.Apal-188,NA,NA,NA,NA,NA
Run8.RRT.Apal-206,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-206,Apal-206,31,RRT.Apal-206,NA,NA,NA,NA,NA
Run8.RRT.Apal-208,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-208,Apal-208,82,RRT.Apal-208,NA,NA,NA,NA,NA
Run8.RRT.Apal-196,NA,Run8.P1,NA,8,AM,AW+SA,RRT,NA,NA,RRT.Apal-196,Apal-196,12,RRT.Apal-196,NA,NA,NA,NA,NA
